model,origin_date,forecast_date,horizon,actual,predicted,error
random_forest,2024-12-23,2025-01-06,14,-12.4,-13.520302486911175,1.120302868380902
random_forest,2024-12-23,2025-01-23,30,-17.7,-19.802474038932704,2.102473275993251
random_forest,2025-01-06,2025-01-07,1,-16.5,-16.8083918775442,0.3083918775441994
random_forest,2025-01-06,2025-01-09,3,-16.4,-17.5814354509257,1.181435832395426
random_forest,2025-01-06,2025-01-14,7,-9.4,-9.777132548409394,0.37713292987912084
random_forest,2025-01-06,2025-01-21,14,-31.0,-24.233648752939928,6.766351247060072
random_forest,2025-01-06,2025-02-06,30,-9.8,-10.395962505620773,0.5959623148859094
random_forest,2025-01-21,2025-01-22,1,-20.3,-21.92289088749001,1.6228916504294624
random_forest,2025-01-21,2025-01-24,3,-23.9,-23.758941063071845,0.1410585554584287
random_forest,2025-01-21,2025-01-28,7,-20.0,-18.64455238236031,1.3554476176396903
random_forest,2025-01-21,2025-02-04,14,-15.8,-15.76922381111622,0.030776379618643546
random_forest,2025-01-21,2025-02-20,30,-15.4,-14.89918750222448,0.5008121163057933
random_forest,2025-02-04,2025-02-05,1,-16.1,-16.110722419044965,0.010722037575238375
random_forest,2025-02-04,2025-02-07,3,-9.1,-9.820862123934106,0.7208617424643791
random_forest,2025-02-04,2025-02-11,7,-21.0,-18.65933250838623,2.3406674916137717
random_forest,2025-02-04,2025-02-18,14,-18.1,-17.66511909487418,0.43488128659554803
random_forest,2025-02-04,2025-03-06,30,-6.7,-6.101608935339913,0.5983908739252239
random_forest,2025-02-18,2025-02-19,1,-15.6,-14.059867394481607,1.5401329869881195
random_forest,2025-02-18,2025-02-21,3,-11.2,-10.95226735780579,0.2477324514593473
